Energy	Plot 1
4000	1.311e+11
4000.5	1.319e+11
4001	1.328e+11
4001.5	1.337e+11
4002	1.345e+11
4002.5	1.354e+11
4003	1.363e+11
4003.5	1.373e+11
4004	1.382e+11
4004.5	1.391e+11
4005	1.4e+11
4005.5	1.409e+11
4006	1.418e+11
4006.5	1.427e+11
4007	1.436e+11
4007.5	1.445e+11
4008	1.453e+11
4008.5	1.461e+11
4009	1.469e+11
4009.5	1.476e+11
4010	1.483e+11
4010.5	1.49e+11
4011	1.496e+11
4011.5	1.502e+11
4012	1.507e+11
4012.5	1.512e+11
4013	1.516e+11
4013.5	1.52e+11
4014	1.524e+11
4014.5	1.527e+11
4015	1.529e+11
4015.5	1.531e+11
4016	1.533e+11
4016.5	1.534e+11
4017	1.535e+11
4017.5	1.535e+11
4018	1.535e+11
4018.5	1.535e+11
4019	1.534e+11
4019.5	1.534e+11
4020	1.532e+11
4020.5	1.531e+11
4021	1.53e+11
4021.5	1.528e+11
4022	1.526e+11
4022.5	1.525e+11
4023	1.523e+11
4023.5	1.521e+11
4024	1.52e+11
4024.5	1.519e+11
4025	1.517e+11
4025.5	1.516e+11
4026	1.516e+11
4026.5	1.515e+11
4027	1.515e+11
4027.5	1.515e+11
4028	1.516e+11
4028.5	1.516e+11
4029	1.518e+11
4029.5	1.519e+11
4030	1.521e+11
4030.5	1.524e+11
4031	1.527e+11
4031.5	1.53e+11
4032	1.534e+11
4032.5	1.538e+11
4033	1.543e+11
4033.5	1.548e+11
4034	1.554e+11
4034.5	1.56e+11
4035	1.566e+11
4035.5	1.573e+11
4036	1.58e+11
4036.5	1.587e+11
4037	1.595e+11
4037.5	1.603e+11
4038	1.611e+11
4038.5	1.62e+11
4039	1.628e+11
4039.5	1.637e+11
4040	1.646e+11
4040.5	1.655e+11
4041	1.664e+11
4041.5	1.673e+11
4042	1.682e+11
4042.5	1.691e+11
4043	1.7e+11
4043.5	1.708e+11
4044	1.717e+11
4044.5	1.725e+11
4045	1.733e+11
4045.5	1.741e+11
4046	1.749e+11
4046.5	1.757e+11
4047	1.764e+11
4047.5	1.77e+11
4048	1.777e+11
4048.5	1.783e+11
4049	1.789e+11
4049.5	1.794e+11
4050	1.799e+11
4050.5	1.804e+11
4051	1.809e+11
4051.5	1.813e+11
4052	1.817e+11
4052.5	1.82e+11
4053	1.824e+11
4053.5	1.827e+11
4054	1.83e+11
4054.5	1.832e+11
4055	1.835e+11
4055.5	1.837e+11
4056	1.84e+11
4056.5	1.842e+11
4057	1.844e+11
4057.5	1.847e+11
4058	1.85e+11
4058.5	1.853e+11
4059	1.856e+11
4059.5	1.859e+11
4060	1.863e+11
4060.5	1.867e+11
4061	1.871e+11
4061.5	1.876e+11
4062	1.881e+11
4062.5	1.887e+11
4063	1.894e+11
4063.5	1.901e+11
4064	1.909e+11
4064.5	1.918e+11
4065	1.927e+11
4065.5	1.937e+11
4066	1.948e+11
4066.5	1.959e+11
4067	1.971e+11
4067.5	1.984e+11
4068	1.998e+11
