Energy	Plot 1
4000	4.136e+11
4000.5	4.154e+11
4001	4.172e+11
4001.5	4.19e+11
4002	4.208e+11
4002.5	4.226e+11
4003	4.245e+11
4003.5	4.264e+11
4004	4.284e+11
4004.5	4.303e+11
4005	4.324e+11
4005.5	4.343e+11
4006	4.364e+11
4006.5	4.385e+11
4007	4.406e+11
4007.5	4.427e+11
4008	4.449e+11
4008.5	4.471e+11
4009	4.493e+11
4009.5	4.515e+11
4010	4.538e+11
4010.5	4.561e+11
4011	4.585e+11
4011.5	4.608e+11
4012	4.632e+11
4012.5	4.656e+11
4013	4.681e+11
4013.5	4.706e+11
4014	4.731e+11
4014.5	4.756e+11
4015	4.782e+11
4015.5	4.808e+11
4016	4.834e+11
4016.5	4.861e+11
4017	4.888e+11
4017.5	4.915e+11
4018	4.943e+11
4018.5	4.971e+11
4019	4.999e+11
4019.5	5.027e+11
4020	5.056e+11
4020.5	5.085e+11
4021	5.114e+11
4021.5	5.144e+11
4022	5.173e+11
4022.5	5.204e+11
4023	5.234e+11
4023.5	5.265e+11
4024	5.296e+11
4024.5	5.327e+11
4025	5.359e+11
4025.5	5.391e+11
4026	5.423e+11
4026.5	5.456e+11
4027	5.489e+11
4027.5	5.522e+11
4028	5.555e+11
4028.5	5.59e+11
4029	5.624e+11
4029.5	5.659e+11
4030	5.694e+11
4030.5	5.729e+11
4031	5.765e+11
4031.5	5.801e+11
4032	5.838e+11
4032.5	5.875e+11
4033	5.912e+11
4033.5	5.95e+11
4034	5.988e+11
4034.5	6.027e+11
4035	6.066e+11
4035.5	6.106e+11
4036	6.146e+11
4036.5	6.187e+11
4037	6.228e+11
4037.5	6.271e+11
4038	6.313e+11
4038.5	6.355e+11
4039	6.399e+11
4039.5	6.443e+11
4040	6.488e+11
4040.5	6.533e+11
4041	6.579e+11
4041.5	6.626e+11
4042	6.673e+11
4042.5	6.721e+11
4043	6.77e+11
4043.5	6.819e+11
4044	6.869e+11
4044.5	6.92e+11
4045	6.971e+11
4045.5	7.024e+11
4046	7.078e+11
4046.5	7.131e+11
4047	7.186e+11
4047.5	7.241e+11
4048	7.298e+11
4048.5	7.355e+11
4049	7.413e+11
4049.5	7.472e+11
4050	7.532e+11
4050.5	7.592e+11
4051	7.653e+11
4051.5	7.715e+11
4052	7.779e+11
4052.5	7.843e+11
4053	7.908e+11
4053.5	7.973e+11
4054	8.04e+11
4054.5	8.107e+11
4055	8.176e+11
4055.5	8.246e+11
4056	8.315e+11
4056.5	8.386e+11
4057	8.458e+11
4057.5	8.53e+11
4058	8.605e+11
4058.5	8.68e+11
4059	8.755e+11
4059.5	8.831e+11
4060	8.908e+11
4060.5	8.985e+11
4061	9.066e+11
4061.5	9.145e+11
4062	9.225e+11
4062.5	9.307e+11
4063	9.389e+11
4063.5	9.473e+11
4064	9.557e+11
4064.5	9.642e+11
4065	9.727e+11
4065.5	9.814e+11
4066	9.901e+11
4066.5	9.991e+11
4067	1.008e+12
4067.5	1.017e+12
4068	1.026e+12
4068.5	1.035e+12
4069	1.044e+12
4069.5	1.054e+12
4070	1.063e+12
4070.5	1.073e+12
4071	1.082e+12
4071.5	1.092e+12
4072	1.102e+12
4072.5	1.112e+12
4073	1.122e+12
4073.5	1.132e+12
